Time,Noise (dB)
2025-07-26 01:12:31.670201,61.0
2025-07-26 01:12:31.870193,59.0
2025-07-26 01:12:32.070184,58.0
2025-07-26 01:12:32.270176,59.0
2025-07-26 01:12:32.470167,60.0
2025-07-26 01:12:32.670158,61.0
2025-07-26 01:12:32.870150,60.0
2025-07-26 01:12:33.070141,60.0
2025-07-26 01:12:33.270132,57.0
2025-07-26 01:12:33.470124,56.0
2025-07-26 01:12:33.670115,57.0
2025-07-26 01:12:33.870106,59.0
2025-07-26 01:12:34.070098,59.0
2025-07-26 01:12:34.270089,60.0
2025-07-26 01:12:34.470081,59.0
2025-07-26 01:12:34.670072,58.0
2025-07-26 01:12:34.870063,57.0
2025-07-26 01:12:35.070055,57.0
2025-07-26 01:12:35.270046,58.0
2025-07-26 01:12:35.470037,58.0
2025-07-26 01:12:35.670029,58.0
2025-07-26 01:12:35.870020,57.0
2025-07-26 01:12:36.070012,57.0
2025-07-26 01:12:36.270003,58.0
2025-07-26 01:12:36.469994,58.0
2025-07-26 01:12:36.669986,58.0
2025-07-26 01:12:36.869977,58.0
2025-07-26 01:12:37.069968,58.0
2025-07-26 01:12:37.269960,57.0
2025-07-26 01:12:37.469951,56.0
2025-07-26 01:12:37.669942,57.0
2025-07-26 01:12:37.869934,58.0
2025-07-26 01:12:38.069925,59.0
2025-07-26 01:12:38.269917,60.0
2025-07-26 01:12:38.469908,61.0
2025-07-26 01:12:38.669899,61.0
2025-07-26 01:12:38.869891,59.0
2025-07-26 01:12:39.069882,58.0
2025-07-26 01:12:39.269873,56.0
2025-07-26 01:12:39.469865,56.0
2025-07-26 01:12:39.669856,58.0
2025-07-26 01:12:39.869848,59.0
2025-07-26 01:12:40.069839,60.0
2025-07-26 01:12:40.269830,61.0
2025-07-26 01:12:40.469822,61.0
2025-07-26 01:12:40.669813,59.0
2025-07-26 01:12:40.869804,57.0
2025-07-26 01:12:41.069796,56.0
2025-07-26 01:12:41.269787,55.0
2025-07-26 01:12:41.469779,55.0
2025-07-26 01:12:41.669770,56.0
2025-07-26 01:12:41.869761,57.0
2025-07-26 01:12:42.069753,58.0
2025-07-26 01:12:42.269744,59.0
2025-07-26 01:12:42.469735,58.0
2025-07-26 01:12:42.669727,56.0
2025-07-26 01:12:42.869718,57.0
2025-07-26 01:12:43.069709,58.0
2025-07-26 01:12:43.269701,58.0
2025-07-26 01:12:43.469692,57.0
2025-07-26 01:12:43.669684,56.0
2025-07-26 01:12:43.869675,55.0
2025-07-26 01:12:44.069666,55.0
2025-07-26 01:12:44.269658,56.0
2025-07-26 01:12:44.469649,57.0
2025-07-26 01:12:44.669640,59.0
2025-07-26 01:12:44.869632,59.0
2025-07-26 01:12:45.069623,59.0
2025-07-26 01:12:45.269615,58.0
2025-07-26 01:12:45.469606,55.0
2025-07-26 01:12:45.669597,56.0
2025-07-26 01:12:45.869589,57.0
2025-07-26 01:12:46.069580,57.0
2025-07-26 01:12:46.269571,57.0
2025-07-26 01:12:46.469563,59.0
2025-07-26 01:12:46.669554,59.0
2025-07-26 01:12:46.869545,59.0
2025-07-26 01:12:47.069537,58.0
2025-07-26 01:12:47.269528,57.0
2025-07-26 01:12:47.469520,56.0
2025-07-26 01:12:47.669511,56.0
2025-07-26 01:12:47.869502,58.0
2025-07-26 01:12:48.069494,59.0
2025-07-26 01:12:48.269485,60.0
2025-07-26 01:12:48.469476,61.0
2025-07-26 01:12:48.669468,60.0
2025-07-26 01:12:48.869459,58.0
2025-07-26 01:12:49.069451,56.0
2025-07-26 01:12:49.269442,58.0
2025-07-26 01:12:49.469433,59.0
2025-07-26 01:12:49.669425,59.0
2025-07-26 01:12:49.869416,60.0
2025-07-26 01:12:50.069407,60.0
2025-07-26 01:12:50.269399,60.0
2025-07-26 01:12:50.469390,60.0
2025-07-26 01:12:50.669382,58.0
2025-07-26 01:12:50.869373,57.0
2025-07-26 01:12:51.069364,56.0
